Book_A,Chapter_A,Number_A,Matn_A,Book_B,Chapter_B,Number_B,Matn_B,Label
AbuDaud,1,222,"when the prophet (ﷺ) intended to sleep while he was sexually defiled, he would perform ablution as he did for prayer.",AbuDaud,1,224,"When the Prophet (May peace be upon him) wanted to eat or sleep, he would perform ablution. She meant that (the prophet did so) when he was sexually defiled.",1
AbuDaud,1,280,"Urwah ibn az-Zubayr said that Fatimah daughter of AbuHubaysh narrated to him that she asked the Messenger of Allah (ﷺ) and complained to him about the flowing of (her) blood. The Messenger of Allah (ﷺ) said to her: That is only (due to) a vein: look, when your menstruation comes, do not pray; and when your menstruation ends, wash yourself and then offer prayer during the period from one menstruation to another.",AbuDaud,1,286,"Urwah ibn az-Zubayr reported from Fatimah daughter of AbuHubaysh that her blood kept flowing, so the Prophet (ﷺ) said to her: When the blood of the menses comes, it is black blood which can be recognised; so when that comes, refrain from prayer; but when a different type of blood comes, perform ablution and pray, for it is (due only to) a vein.Abu Dawud said: Ibn al-Muthanna narrates this tradition from his book on the authority of Ibn 'Adi in a similar way. Later on he transmitted it to us from his memory: Muhammad b. 'Amr reported to us from al-Zuhri from 'Urwah on the authority of 'Aishah who said: Fatimah used to have her blood flowing. He then reported the tradition conveying the same meaning.Abu Dawud said: Anas b. Sirin reported from Ibn 'Abbas about the woman who has a prolonged flow of blood. He said: If she sees thick blood, she should not pray; if she finds herself purified even for a moment, she should was an pray.Makhul said: Menses are not hidden from women. Their blood is black and thick. When it (blackness and thickness) goes away and there appears yellowness and liquidness, that is the flow of blood (from vein). She should wash and pray.Abu Dawud said: This tradition has been transmitted by Sa'id b. al-Musayyab through a different chain of narrators, saying: The woman who has a prolonged flow of blood should abandon prayer when the menstruation begins; when it is finished, she should wash and pray.Sumayy and others have also reported it from Sa'id b. al-Musayyab. This version adds: She should refrain (from prayer) during her menstrual period.Hammad b. Salamah has reported it similarly from Yahya b. Sa'id on the authority of Sa'id b. al-Musayyab.Abu Dawud said: Yunus has reported from Al-Hasan: When the bleeding of a menstruating woman extends (beyond the normal period), she should refrain (from prayer), after her menses are over, for one or two days. Now she becomes the woman who has a prolonged flow of blood.Al-Taimi reported from Qatadah: If her menstrual period is prolonged by five days, she should pray. Al-Taimi said: I kept on reducing (the number of days) until I reached two days. He said: If the period extends by two days, they will be counted from the menstrual period. When Ibn Sirin was questioned about it, he said: Women have better knowledge of that.",1
AbuDaud,1,110,"Urwah ibn az-Zubayr said that Fatimah daughter of AbuHubaysh narrated to him that she asked the Messenger of Allah (ﷺ) and complained to him about the flowing of (her) blood. The Messenger of Allah (ﷺ) said to her: That is only (due to) a vein: look, when your menstruation comes, do not pray; and when your menstruation ends, wash yourself and then offer prayer during the period from one menstruation to another.",Bukhari,6,307,"A woman asked Allah's Messenger (ﷺ), ""O Allah's Messenger (ﷺ)! What should we do, if the blood of menses fallson our clothes?"" Allah's Messenger (ﷺ) replied, ""If the blood of menses falls on the garment of anyone ofyou, she must take hold of the blood spot, rub it, and wash it with water and then pray in (with it).",0
Bukhari,6,307,"A woman asked Allah's Messenger (ﷺ), ""O Allah's Messenger (ﷺ)! What should we do, if the blood of menses fallson our clothes?"" Allah's Messenger (ﷺ) replied, ""If the blood of menses falls on the garment of anyone ofyou, she must take hold of the blood spot, rub it, and wash it with water and then pray in (with it).",Bukhari,8,517,Narrated Maimuna bint Al-Harith: My bed was beside the praying place (Musalla) of the Prophet (ﷺ) and sometimes his garment fell on me while I used to lie in my bed.,0
AbuDaud,1,98,"Messenger of Allah. Allah is not ashamed of truth what do you think, if a woman sees what a man sees in dream, should she take a bath or not? The prophet (ﷺ) replied: Yes, she should take a bath if she finds the liquid (vaginal secretion) ‘A’ishah said : Then I came upon her and said her : Woe to you! Does a woman see that (sexual dream)? In the meantime, the Messenger of Allah (ﷺ) came upon me and said: May your right hand be covered with dust! How can there be the resemblance (i.e., between the child and the mother)?Abu Dawud said: A similar version has been narrated by Zubaid, ‘Uqail, Yunus, cousin of Al-Zuhri, Ibn Abi-Wazir, on the authority of al-Zuhr, musan, al-Hajabi, like al-Zuhri, narrated on the authority of ‘Urwah from ‘A’ishah, butHisham b. ‘Urwah narrated from ‘Urwah on the authority of Zainab daughter of Abu Salamah from Umm Salamah saying. Umm Sulaim came to the Messenger of Allah (ﷺ).",Muslim,3,708,"Umm Sulaim who was the grandmother of Ishaq came to the Messenger of Allah (ﷺ) in the presence of 'A'isha and said to him: Messenger of Allah, in case or woman sees what a man sees in dream and she experiences in dream what a man experiences (i. e. experiences orgasm)? Upon this 'A'isha remarked: O Umm Sulaim, you brought humiliation to women;may your right hand be covered with dust. He (the Holy Prophet) said to 'A'isha: Let your hand be covered with dust, and (addressing Umm Sulaim) said: Well, O Umm Sulaim, she should take a bath if she sees that (i. e. she experiences orgasm in dream).",1
Muslim,2,590,"I asked A'isha what Allah's Apostle (ﷺ) did first when he entered his house, and she replied: He used tooth-stick (first of all).",Muslim,2,591,"Whenever Allah's Messenger (ﷺ) entered his house, he used tooth-stick first of all.",1
Nesai,48,5044,"The Messenger of Allah [SAW] said: ""Ten things are part of the Fitrah: Trimming the mustache, trimming the nails, washing the joints, letting the beard grow, using the Siwak, rinsing the nose, plucking the armpit hairs, shaving the pubes, and washing with water (after relieving oneself)."" Mus'ab bin Shaibah said: ""I have forgotten the tenth, unless it was rinsing the mouth.""",Tirmizi,43,2870,"that the Prophet (ﷺ) said: ""Ten are from the Fitrah: Paring the mustache, leaving the beard to grow, Siwak, cleaning the nose with water, paring the fingernails, washing the knuckles, plucking the underarm hair, shaving the pubic hairs, and Intiqas with water.""",1
Tirmizi,43,2870,"that the Prophet (ﷺ) said: ""Ten are from the Fitrah: Paring the mustache, leaving the beard to grow, Siwak, cleaning the nose with water, paring the fingernails, washing the knuckles, plucking the underarm hair, shaving the pubic hairs, and Intiqas with water.""",IbnMaja,1,293,"""The Messenger of Allah said: 'Ten things are connected to the Fitrah: trimming the mustache, letting the beard grow, using the tooth stick, rinsing out the nostrils with water, clipping the nails, washing the joints, plucking the armpit hairs, shaving the pubic hairs, washing the private parts with water.'""(One of the narrators) Zakariyya said: ""Mus'ab said: 'I have forgotten the tenth thing, but it may have been rinsing out the mouth.'""",1
AbuDaud,13,2152,Abu Salamah reported on the authority of Fatimah daughter of Qais that Abu ‘Amr bin Hafs Al Makhzumi divorced her three times. He then narrated the rest of the tradition. He then mentioned about Khalid bin Walid and said that the Prophet (ﷺ) said “There are no maintenance and dwelling for her.” This version has “The Apostle of Allaah(ﷺ) sent a message to her “Do not give her consent for marriage without my permission.””,AbuDaud,13,2153,"Fatimah daughter of Qais said “I was married to a man of Banu Makhzum. He divorced me absolutely. The narrator then transmitted the rest of the tradition like that of Malik. This version has “Do not marry yourself without my permission.”Abu Dawud said Al Sha’bi, Al Bahiyy and ata from abd Al Rahman bin asim and Abu Bakr bin Abi Al Jahm all narrated on the authority of Fatimah daughter of Qais that her husband had divorced her three times.",1
Muslim,12,2316,"The Messenger of Allah (ﷺ) said to me: Spend, and do not calculate, or otherwise Allah would also calculate in your case.",Muslim,12,2317,"Spend and do not calculate, (for) Allah would calculate in your case; and do not hoard, otherwise Allah would be withholding from you.",1
